Expedition,SAMPLE_ID,Formation_name,GPS number,GPS lat,GPS long,Date ,Time,Collectors,Code,Total,Encrusted,Rate,Physical Description,Photo ID,Unpacked,Unpacked by,unpacking notes,Small,Large,Too large,NOTE,,,,
WABO I,116,Nukumaru Brown Sand,82,39S 51.471,174E 47.116,19/01/2014,,"SR, LLH, KV",,30,12,0.400,,,20/2/2014,LHL,,5,5,2,,,,,
WABO I,117,Nukumaru Brown Sand,83,39S 51.458,174E 47.221,19/01/2014,,"SR, LLH, KV",,30,6,0.200,,,14/2/2014,LHL,,,,,,,,,
WABO I,118,Nukumaru Brown Sand,84,39S 51.455,174E 47.269,19/01/2014,,"SR, LLH, KV",,30,19,0.633,,,14/2/2014,KLV,,11,7,1,,,,,
WABO I,119,Nukumaru Brown Sand,85,39S 51.459,174E 47.295,19/01/2014,,"SR, LLH, KV",,30,10,0.333,,,20/2/2014,LHL,,6,3,1,,,,,
WABO I,115A,Nukumaru Brown Sand,80,39S 51.483,174E 47.052,19/01/2014,,"SR, LLH, KV",,30,12,0.400,10 m from beach level,,17/2/2014,LHL,,7,4,1,,,,,
WABO I,115B,Nukumaru Brown Sand,81,39S 51.483,174E 47.052,19/01/2014,,"SR, LLH, KV",,30,14,0.467,Close to top of Brown Sand. Treacherous,,20/2/2014,LHL,,7,5,2,,,,,
WABO I,,,,,,,,,,,,,,,,,,,,,,,,,
WABO I,9.1,Nukumaru Brown Sand,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Nukumaru beach (close to WABO 33-52),,,London 31 Mar,,,,,,,,,
WABO I,9.2,Lower Castlecliff Shellbed,55,39S 54.295,174E 56.282,,,,,,,,Lwr Castelcliff SB GPS 55,,,30,,,,,,,,,
WABO I,9.3,Upper Kai-iwi Shellbed,71,39S 53.816,174E 55.427,,,,,,,,Upper Kai-iwi Shellbed GPS 71,,,,,,,,,,,,
WABO I,9.4,Lower Castlecliff Shellbed,69,39S 54.359,174E 56.396,,,,,,,,GPS 69,,,,,,,,,,,,
WABO I,9.5,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,,,,,,,,"Upper castlecliff shellbed sandy base, GPS # 8, Seabourne site14",,,,,,,,,,,,
WABO I,9.6,Nukumaru Brown Sand,58,39S 49.704,175E 08.773,,,,,,,,GPS 58 ,,,,,,,,,,,,
WABO I,9.7,Nukumaru Brown Sand,,,,,,,,,,,mid upper Nukumaru brown sand,,,,,,,,,,,,
WABO I,9.8,Nukumaru Limestone,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Waimu Beach (with samples 33-52),,,,,,,,,,,,
WABO I,9.9,Nukumaru Limestone,,,,?,,PDT,,,,,Nukumaru Beach (or top most NKLS),,,,,,,,,,,,
WABO I,9.10,Nukumaru Limestone,,,,?,,PDT,,,,,Nukumaru Beach ,,,,,,,,,,,,
WABO I,9.11,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.12,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.13,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.14,Nukumaru Limestone,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Waimu Beach (with samples 33-52),,,,,,,,,,,,
WABO I,9.15,Nukumaru Limestone,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Waimu Beach (with samples 33-52),,,,,,,,,,,,
WABO I,9.16,Nukumaru Limestone,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Waimu Beach (with samples 33-52),,,,,,,,,,,,
WABO I,9.17,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.18,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.19,Nukumaru Limestone,,,,19/01/2014,,SR,,,,,Nukumaru Beach ,,,,,,,,,,,,
WABO I,9.20,Nukumaru Limestone,30,39S 49.699,174E 52.916,?,,PDT,,,,,Close to GPS 30,,,,,,,,,,,,
WABO I,9.21,Nukumaru Limestone,,,,?,,DPG,,,,,Nukumaru Beach,,,,,,,,,,,,
WABO I,9.22,Nukumaru Limestone,,,,?,,DPG,,,,,undifferentiated Nukumaru at Nukumaru Beach,,,,,,,,,,,,
WABO I,9.23,Nukumaru Brown Sand,,,,19/1/14,,?,,,,,,,,,,,,,,,,,
WABO I,9.24,Nukumaru Brown Sand,57,39S 49.739,175E 08.297,?,,? SR,,,,,GPS 57,,,,,,,,,,,,
WABO I,9.25,Nukumaru Brown Sand,31,39S 51.456,174E 47.197,?,,PDT,,,,,GPS 31-32,,,,,,,,,,,,
WABO I,9.26,Nukumaru Brown Sand,,,,?,,DPG,,,,,Nukumaru Beach,,,,,,,,,,,,
WABO I,9.27,Lower Castlecliff Shellbed,53,39S 54.285,174E 56.253,?,,PDT,,,,,Lwr Castelcliff SB GPS 53,,,,,,,,,,,,
WABO I,9.28,Lower Castlecliff Shellbed,18,39S 54.271,174E 56.225,?,,PDT,,,,,Lwr Castelcliff SB GPS 18,,,,,,,,,,,,
WABO I,9.29,Lower Castlecliff Shellbed,53,39S 54.285,174E 56.253,?,,PDT,,,,,Lwr Castelcliff SB GPS 53,,,,,,,,,,,,
WABO I,9.30,Tainui Shellbed,,,,17/1/2014,,?,,,,,Shakespeare Cliff locality,,,,,,,,,,,,
WABO I,9.31,Shakespeare Cliff Basal Sand Shellbed,6,39S 55.061,174E 57.347,?,,?,,,,,GPS 6 (the Buttress),,,,,,,,,,,,
WABO I,9.32,Shakespeare Cliff Basal Sand Shellbed,9,39S 55.084,174E 57.407,?,,?,,,,,GPS 9,,,,,,,,,,,,
WABO I,9.33,Shakespeare Cliff Basal Sand Shellbed,13,39S 55.104,174E 57.422,?,,?,,,,,GPS 13,,,,,,,,,,,,
WABO I,9.34,Shakespeare Cliff Basal Sand Shellbed,17,39S 54.909,174E 57.177,?,,?,,,,,GPS 17,,,,,,,,,,,,
WABO I,9.35,Upper Castlecliff Shellbed,3,39S 54.253,174E 56.199,?,,?,,,,,between GPS 3 and 4,,,,,,,,,,,,
WABO I,9.36,Upper Castlecliff Shellbed,,,,?,,?,,,,,E of Butress,,,,,,,,,,,,
WABO I,9.37,Lower Kai-iwi Shellbed,,,,?,,PDT,,,,,,,,,,,,,,,,,
WABO I,9.38,Upper Kai-iwi Shellbed,,,,18/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO I,9.39,Upper Kai-iwi Shellbed,,,,18/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO I,9.40,Upper Kai-iwi Shellbed,,,,18/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO I,9.41,Upper Kai-iwi Shellbed,,,,18/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO I,9.42,Upper Kai-iwi Shellbed,,,,18/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO I,9.43,Upper Kai-iwi Shellbed,,,,18/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO I,9.44,Upper Kai-iwi Shellbed,,,,19/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO II,115B,Nukumaru Brown Sand,81,,,19/01/2014,,"SR, LLH, KV",,30,14,0.467,Close to top of Brown Sand. Treacherous,,20/2/2014,LHL,,7,5,2,,,,,
WABO II,9.44,Upper Kai-iwi Shellbed,,,,19/1/2014,,PDT,,,,,,,,,,,,,,,,,
WABO II,116B,Landguard Formation,3,39S 57.410,175E 01.621,27/2/2017,PM,Full Crew,,,,,,,,,,,,,"SR, LLH,KV,PDT, EDM, AB,EE,JB, ",,,Mali: no Antarctothoa,
WABO II,117B,Landguard Formation,3,39S 57.410,175E 01.621,27/2/2017,PM,Full Crew,,,,,,,,,,,,,,,,"Mali: 1, 20, 21, 34, 43, 44, 46 (checked)",
WABO II,118,Landguard Formation,3,39S 57.410,175E 01.621,27/2/2017,PM,Full Crew,,,,,,,,,,,,,,,,"Mali: Antarctothoa in shells: 1, 4, 5, 6, 7, 10, 11, 12, 15, 18, 19, 27 (checked) ",
WABO II,119,Landguard Formation,3,39S 57.410,175E 01.621,27/2/2017,PM,Full Crew,,,,,,,,,,,,,,,,"Mali: Antarctothoa in shells 3, 4, 9, 15, 16, 17, 20, 21 and 29 (checked)",
WABO II,120,Landguard Formation,3,39S 57.410,175E 01.621,27/2/2017,PM,Full Crew,,,,,,,,,,,,,,,,"Mainly cyclostomes, 1-2 interactions (2 boxes, 20 shells)",
WABO II,121,Landguard Formation,3,39S 57.410,175E 01.621,27/2/2017,PM,Full Crew,,,,,,,,,,,,,,,,"Mali: Antarctothoa in shells 2, 3, 5, 7 and 8 (checked)",
WABO II,122,Nukumaru Limestone,NA,39S 51.695,174E 46.737,28/2/2017,11:45,"EE, JB",,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,123,Nukumaru Limestone,NA,39S 51.698,174E 46.735,28/2/2017,12:05,"EE, JB",,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,124,Nukumaru Limestone,NA,39S 51.687,174E 46.740,28/2/2017,11:25,"LHL, CRS",,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,125,Nukumaru Limestone,NA,39S 51.529,174E 46.942,28/2/2017,PM,"EE, JB",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,126,Nukumaru Limestone,NA,39S 51.561,174E 46.880,28/2/2017,PM,"EE, JB",,,,,,,,,,,,,"Nukumaru Beach (""Sunny View"")",,,,
WABO II,127,Nukumaru Limestone,NA,39S 51.555,174E 46.876,28/2/2017,02:15,"KLV, CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,128,Nukumaru Limestone,NA,39S 51.546,174E 46.918,28/2/2017,02:40,"KLV, CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,129,Nukumaru Limestone,NA,39S 51.691,174E 46.748,28/2/2017,11:05,"LHL, CS",,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,9.45,Nukumaru Limestone,NA,39S 51.691,174E 46.748,28/2/2017,12:00,EDM,,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,9.46,Nukumaru Limestone,NA,39S 51.561,174E 46.880,28/2/2017,02:20,SR,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.47,Nukumaru Limestone,NA,39S 51.561,174E 46.880,28/2/2017,PM,PDT,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.48,Nukumaru Limestone,NA,39S 51.691,174E 46.748,28/2/2017,12:00,EDM,,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,9.49,Nukumaru Limestone,NA,39S 51.555,174E 46.876,28/2/2017,03:00,EDM,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,130,Nukumaru Limestone,NA,39S 51.691,174E 46.748,28/2/2017,12:00,ALL,,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,131,Nukumaru Limestone,NA,39S 51.691,174E 46.748,28/2/2017,12:00,EDM,,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,132,Nukumaru Brown Sand,NA,39S 51.454,174E 47.199,28/2/2017,05:10,LHL,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,133,Nukumaru Brown Sand,NA,39S 51.415,174E 47.117,28/2/2017,04:15,LHL,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,134,Nukumaru Brown Sand,NA,39S 51.474,174E 47.088,28/2/2017,PM,"EE, JB",,,,,,,,,,,,,"Nukumaru Beach ""stuggleside""",,,,
WABO II,135,Nukumaru Brown Sand,NA,39S 51.472,174E 47.108,28/2/2017,03:30,"SR, LHL",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,136,Nukumaru Brown Sand,NA,39S 51.482,174E 47.074,28/2/2017,03:10,"SR, KV",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,137,Nukumaru Brown Sand,NA,39S 51.465,174E 47.152,28/2/2017,PM,"SR, CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.50,Nukumaru Brown Sand,NA,39S 51.472,174E 47.109,28/2/2017,PM,SR,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.51,Nukumaru Brown Sand,NA,39S 51.482,174E 47.064,28/2/2017,04:00,"EDM, PDT",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.52,Nukumaru Brown Sand,NA,39S 51.482,174E 47.064,28/2/2017,05:00,ALL,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,138,Nukumaru Brown Sand,NA,39S 51.482,174E 47.064,28/2/2017,PM,"KLV, LHL, SR",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,139,Nukumaru Brown Sand,NA,39S 51.482,174E 47.064,28/2/2017,PM,"KLV, LHL, SR, EDM",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.53,Butler's Shell Conglomerate,NA,39S 52.071,174E 50.310,03/01/2017,AM,All,,,,,,,,,,,,,Ototoka Beach,,,Mali diversity and interactions,
WABO II,9.54,Butler's Shell Conglomerate,NA,39S 52.071,174E 50.310,03/01/2017,AM,All,,,,,,,,,,,,,Ototoka Beach,,,Mali diversity and interactions,
WABO II,140,Butler's Shell Conglomerate,NA,39S 52.070,174E 50.310,03/01/2017,09:30,LHL,,,,,,,,,,,,,Ototoka Beach,,,,
WABO II,141,Butler's Shell Conglomerate,NA,39S 52.071,174E 50.310,03/01/2017,09:50,LHL,,,,,,,,,,,,,Ototoka Beach,,,,
WABO II,142,Butler's Shell Conglomerate,NA,39S 52.071,174E 50.310,03/01/2017,10:00,LHL,,,,,,,,,,,,,Ototoka Beach,,,,
WABO II,143,Butler's Shell Conglomerate,NA,39S 51.938,174E 49.906,03/01/2017,10:35,KLV,,,,,,,,,,,,,Ototoka Beach,,,,
WABO II,144,Butler's Shell Conglomerate,NA,39S 51.947,174E 49.915,03/01/2017,10:40,"SR, JB",,,,,,,,,,,,,Ototoka Beach,,,,
WABO II,145,Nukumaru Limestone,NA,39S 51.916,174E 45.075,03/01/2017,PM,JB,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,146,Nukumaru Limestone,NA,39S 51.924,174E 45.078,03/01/2017,01:00,LHL,,,,,,,,,,,,,Waiinu Beach,2 Steginoporella associated with this number,,,
WABO II,147,Nukumaru Limestone,NA,39S 51.928,174E 45.099,03/01/2017,PM,"EE, CS",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,148,Nukumaru Limestone,NA,39S 51.948,174E 45.606,03/01/2017,02:10,"EE, CS",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,149,Nukumaru Limestone,NA,39S 51.942,174E 45.607,03/01/2017,02:15,JB,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,150,Nukumaru Limestone,NA,39S 51.962,174E 45.661,03/01/2017,03:25,"LHL, EE",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,151,Nukumaru Limestone,NA,39S 51.960,174E 45.709,03/01/2017,03:45,"LHL, EE",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,152,Nukumaru Limestone,NA,39S 51.956,174E 45.759,03/01/2017,03:55,"LHL, EE",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,153,Nukumaru Limestone,NA,39S 51.951,174E 44.792,03/01/2017,04:10,"LHL, EE",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,154,Nukumaru Limestone,NA,39S 51.947,174E 45.613,03/01/2017,02:15,LHL,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.55,Nukumaru Limestone,NA,39S 51.948,174E 45.606,03/01/2017,PM,LHL,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.56,Nukumaru Limestone,NA,39S 51.960,174E 45.709,03/01/2017,PM,SR,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.57,Nukumaru Limestone,NA,39S 51.948,174E 45.606,03/01/2017,03:00,"EE, JB",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.58,Nukumaru Limestone,NA,39S 51.960,174E 45.709,03/01/2017,04:30,PDT,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.59,Nukumaru Limestone,NA,39S 51.954,174E 45.650,03/01/2017,04:45,EDM,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.60,Nukumaru Limestone,NA,39S 51.948,174E 45.606,03/01/2017,04:00,PDT,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.61,Nukumaru Limestone,NA,39S 51.960,174E 45.709,03/01/2017,04:30,"PDT, AB, CS",,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.62,Nukumaru Limestone,NA,39S 51.948,174E 45.606,03/01/2017,PM,SR,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.63,Nukumaru Limestone,NA,39S 51.948,174E 45.606,03/01/2017,03:00,PDT,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.64,Nukumaru Limestone,NA,39S 51.924,174E 45.078,03/01/2017,01:00,EDM,,,,,,,,,,,,,Waiinu Beach,,,,
WABO II,9.65,Nukumaru Limestone,NA,39S 51.948,174E 45.606,03/01/2017,03:00,"EDM, JB",,,,,,,,,,,,,Castlecliff Beach (waterfall),,,,
WABO II,155,Shakespeare Cliff Sand Basal Shellbed,NA,39S 55.070,174E 47.383,03/02/2017,08:30,"LHL, JB, EDM",,,,,,,,,,,,,Castlecliff Beach (waterfall),,,,
WABO II,156,Shakespeare Cliff Sand Basal Shellbed,NA,39S 55.073,174E 57.387,03/02/2017,08:45,"LHL, JB",check yellow cell (otherwise of waterfal)l,,,,,,,,,,,,Castlecliff Beach (waterfall),,,,
WABO II,157,Shakespeare Cliff Sand Basal Shellbed,NA,39S 55.070,174E 47.383,03/02/2017,08:40,"SR, CS",,,,,,,,,,,,,Castlecliff Beach (waterfall),,,,
WABO II,158,Tainui Shellbed,NA,39S 55.075,174E 57.377,03/02/2017,09:05,"LHL, EDM",,,,,,,,,,,,,Castlecliff Beach (waterfall),,,,
WABO II,159,Tainui Shellbed,NA,39S 55.076,174E 57.376,03/02/2017,09:15,LHL,,,,,,,,,,,,,Castlecliff Beach (waterfall),,,,
WABO II,160,Upper Castlecliff Shellbed,NA,39S 55.079,174E 57.399,03/02/2017,09:45,"SR, EE, JB, CS",,,,,,,,,,,,,Castlecliff Beach (above waterfall),,,,
WABO II,161,Upper Castlecliff Shellbed,NA,39S 55.079,174E 57.397,03/02/2017,09:45,"SR, EE, JB, CS",,,,,,,,,,,,,Castlecliff Beach (above waterfall),,,,
WABO II,9.66,Upper Castlecliff Shellbed,NA,39S 55.079,174E 57.397,03/02/2017,09:45,"EDM, LHL",,,,,,,,,,,,,Castlecliff Beach (above waterfall),,,"Low diversity, one colony (usually small) per shell, some shells totally empty. No interactions. One erecto cyclo #10. (10 shells)",
WABO II,9.67,Upper Castlecliff Shellbed,NA,39S 55.079,174E 57.399,03/02/2017,09:45,"SR, EE, JB, CS",,,,,,,,,,,,,Castlecliff Beach (above waterfall),,,A single shell with several colonies interacting.,
WABO II,9.68,Shakespeare Cliff Sand Basal Shellbed,NA,39S 55.070,174E 57.383,03/02/2017,09:30,"EDM, LHL",,,,,,,,,,,,,Castlecliff Beach (waterfall),,,,
WABO II,9.69,Shakespeare Cliff Sand Basal Shellbed,NA,39S 55.070,174E 57.383,03/02/2017,AM,"SR, AB, EE",,,,,,,,,,,,,Castlecliff Beach (waterfall),,,"Very few interactions, most common species are 'simple' anascans and Calyptotheca, very few Microporella (58 shells in 2 boxes)",
WABO II,9.70,Denby Shellbed,NA,39S 37.552,174E 17.87,03/02/2017,02:45,All,,,,,,,,,,,,,Rifle Range Road (rotary club),mostly Pliocene concretions filled with Pleistocene bryozoans,,,
WABO II,9.71,Denby Shellbed,NA,39S 37.552,174E 17.87,03/02/2017,02:45,All,,,,,,,,,,,,,Rifle Range Road (rotary club),mostly Pliocene concretions filled with Pleistocene bryozoans,,,
WABO II,161,Denby Shellbed,NA,39S 36.354,174E 14.503,03/02/2017,05:15,"LHL, EE",,,,,,,,,,,,,Denby Road Where Dennis and Paul had been in 1988,,,,
WABO II,162,Denby Shellbed,NA,39S 36.354,174E 14.503,03/02/2017,PM,"CRS, JB",,,,,,,,,,,,,Denby Road Where Dennis and Paul had been in 1988,,,,
WABO II,163,Denby Shellbed,NA,39S 36.354,174E 14.503,03/02/2017,PM,EDM,,,,,,,,,,,,,Denby Road Where Dennis and Paul had been in 1988,,,,
WABO II,164,Denby Shellbed,NA,39S 36.354,174E 14.503,03/02/2017,PM,KLV,,,,,,,,,,,,,Denby Road Where Dennis and Paul had been in 1988,,,,
WABO II,9.72,Denby Shellbed,NA,39S 36.354,174E 14.503,03/02/2017,PM,ALL,,,,,,,,,,,,,Denby Road Where Dennis and Paul had been in 1988,,,,
WABO II,9.74,Denby Shellbed,NA,39S 37.552,174E 17.87,03/02/2017,02:45,All,,,,,,,,,,,,,Rifle Range Road (rotary club),Washed out from above Tangahoe Fmn,,,
WABO II,9.75,Nukumaru Limestone,NA,39S 51.690,174E 46.733,03/03/2017,03:35,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,9.76,Nukumaru Brown Sand,NA,39S 51.457,174E 47.307,03/03/2017,01:00,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,12 shells,
WABO II,9.77,Nukumaru Brown Sand,NA,39S 51.457,174E 47.307,03/03/2017,10:40,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,13 shells,
WABO II,9.78,Nukumaru Brown Sand,NA,39S 51.457,174E 47.307,03/03/2017,01:00,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,"Some interactions, some Microporella, nice cyclostomes (31 shells)",
WABO II,9.79,Nukumaru Brown Sand,NA,39S 51.457,174E 47.307,03/03/2017,10:40,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.80,Nukumaru Brown Sand,NA,39S 51.457,174E 47.307,03/03/2017,01:00,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,165,Nukumaru Brown Sand,Low,39S 51.452,174E 47.213,03/03/2017,09:20,"CS, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,166,Nukumaru Brown Sand,High,39S 51.452,174E 47.213,03/03/2017,09:20,"CS, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,167,Nukumaru Brown Sand,Low,39S 51.455,174E 47.244,03/03/2017,09:50,"CS, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,168,Nukumaru Brown Sand,High,39S 51.455,174E 47.244,03/03/2017,09:50,"CS, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,169,Nukumaru Brown Sand,Low,39S 51.454,174E 47.259,03/03/2017,10:20,"CS, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,170,Nukumaru Brown Sand,High,39S 51.454,174E 47.259,03/03/2017,10:20,"CS, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,171,Nukumaru Brown Sand,NA,39S 51.458,174E 47.289,03/03/2017,11:15,JB,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,172,Nukumaru Brown Sand,NA,39S 51.459,174E 47.293,03/03/2017,11:45,KLV,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,173,Nukumaru Brown Sand,NA,39S 51.457,174E 47.307,03/03/2017,12:00,"KLV, JB",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,174,Nukumaru Brown Sand,Low,39S 51.458,174E 47.339,03/03/2017,01:00,"JB, CS, EDM",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,175,Nukumaru Brown Sand,High,39S 51.458,174E 47.339,03/03/2017,01:00,"JB, CS, EDM",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,176,Nukumaru Brown Sand,NA,39S 51.463,174E 47.366,03/03/2017,01:00,EDM,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,177,Nukumaru Brown Sand,NA,39S 51.463,174E 47.368,03/03/2017,01:20,EDM,,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,178,Nukumaru Brown Sand,NA,39S 51.457,174E 47.298,03/03/2017,01:30,"EDM, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,179,Nukumaru Brown Sand,NA,39S 51.454,174E 47.247,03/03/2017,01:50,"EDM, EE",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.81,Nukumaru Limestone,NA,39S 51.690,174E 46.733,03/03/2017,03:55,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,"""Fishing Rock"", Alan's Entry",,,,
WABO II,9.82,Nukumaru Brown Sand,NA,39S 51.460,174E 47.223,03/03/2017,01:00,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.83,Nukumaru Brown Sand,NA,39S 51.460,174E 47.223,03/03/2017,01:00,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.84,Nukumaru Brown Sand,NA,39S 51.460,174E 47.223,03/03/2017,01:00,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,9.85,Nukumaru Limestone,NA,See,See,03/03/2017,01:00,"EDM,KLV,EE,JB,CS",,,,,,,,,,,,,Nukumaru Beach,,,,
WABO II,180,Kaikokopu ShellGrit,NA,39S 58.486,175E 18.366,03/03/2017,09:10,"SR, AB, LHL",,,,,,,,,,,,,Turakina Valley Road ,,,,
WABO II,9.86,Kaikokopu ShellGrit,NA,39S 58.486,175E 18.366,03/03/2017,09:10,PDT,,,,,,,,,,,,,Turakina Valley Road ,,,,
WABO II,9.87,Hautawa Shellbed,NA,39S 50.439,175E 33.115,03/03/2017,12:00,SR,,,,,,,,,,,,,Otiwhiri Station,,,,
WABO II,9.88,Hautawa Shellbed,NA,39S 50.439,175E 33.115,03/03/2017,12:00,PDT,,,,,,,,,,,,,Otiwhiri Station,,,,
WABO II,181,Hautawa Shellbed,NA,39S 50.442,175E 33.119,03/03/2017,12:15,LHL,,,,,,,,,,,,,Otiwhiri Station,,,,
WABO II,182,Hautawa Shellbed,NA,39S 50.439,175E 33.115,03/03/2017,12:30,LHL,,,,,,,,,,,,,Otiwhiri Station,,,,
