diff.form,diff.ln.zh,diff.ln.mpw.b,diff.ln.cw.m,diff.ln.cw.d,diff.ln.ow.m,diff.ln.oh,diff.ln.o.side,diff.ln.c.side,diff.zh,diff.mpw.b,diff.cw.m,diff.cw.d,diff.ow.m,diff.oh,diff.o.side,diff.c.side
NKLS to NKBS,-0.032024358,0.009044014,0.00830219,-0.001185777,-0.00354742,-0.00485991,-0.021902741,-0.045004699,0.968482992,1.009085035,1.008336749,0.998814925,0.996458865,0.995151881,0.978335382,0.955992989
NKBS to Tewkesbury,0.007337801,0.008554313,-0.037810751,-0.023255991,-0.00273602,0.008627333,-0.008287564,0.017184864,1.007364788,1.008591005,0.96289515,0.977012346,0.99726772,1.008664656,0.991746683,1.017333373
Tewkesbury to Upper Kai-Iwi,0.156306809,0.26433027,0.305723292,0.243185705,0.156904267,-0.106687607,0.101864615,0.240358472,1.169184864,1.302558321,1.357606594,1.275305432,1.169883612,0.89880641,1.107233559,1.27170494
Upper Kai-Iwi to Tainui,0.035107174,0.062497807,-0.001266676,0.006131052,0.022349482,-0.007605643,0.05744017,0.000520858,1.035730707,1.064492125,0.998734126,1.006149885,1.022601103,0.992423206,1.059121902,1.000520993
Tainui to SHCSBSB,-0.015316072,-0.117352015,-0.01924511,-0.009224113,-0.025045924,-0.00367082,-0.048487804,0.022940506,0.984800623,0.889272101,0.980938895,0.990818299,0.975265123,0.996335909,0.952668958,1.023205663
SHCSBSB to modern,-0.057691682,0.113777077,-0.014023175,-0.019020875,0.014852092,0.025320161,0.026398988,-0.118812523,0.943940937,1.120502311,0.986074692,0.981158881,1.014962933,1.025643439,1.026750528,0.887974259
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
diff.form,diff.ln.zh,diff.ln.mpw.b,diff.ln.cw.m,diff.ln.cw.d,diff.ln.ow.m,diff.ln.oh,diff.ln.o.side,diff.ln.c.side,diff.zh,diff.mpw.b,diff.cw.m,diff.cw.d,diff.ow.m,diff.oh,diff.o.side,diff.c.side
NKLS to NKBS,0.968482992,1.009085035,1.008336749,0.998814925,0.996458865,0.995151881,0.978335382,0.955992989,2.633945709,2.743090036,2.741038188,2.71506237,2.708673048,2.705135168,2.66002463,2.601252317
NKBS to Tewkesbury,1.007364788,1.008591005,0.96289515,0.977012346,0.99726772,1.008664656,0.991746683,1.017333373,2.7383753,2.741735202,2.619268683,2.656507648,2.710864858,2.741937139,2.695939314,2.76580954
Tewkesbury to Upper Kai-Iwi,1.169184864,1.302558321,1.357606594,1.275305432,1.169883612,0.89880641,1.107233559,1.27170494,3.219367347,3.678695926,3.886879281,3.579794628,3.221617658,2.456669104,3.025975621,3.56692878
Upper Kai-Iwi to Tainui,1.035730707,1.064492125,0.998734126,1.006149885,1.022601103,0.992423206,1.059121902,1.000520993,2.817164004,2.899366094,2.714843003,2.735050459,2.780417518,2.697763797,2.883837585,2.719698404
Tainui to SHCSBSB,0.984800623,0.889272101,0.980938895,0.990818299,0.975265123,0.996335909,0.952668958,1.023205663,2.677278043,2.433357767,2.666959061,2.693437608,2.651870191,2.708340022,2.592620026,2.782098957
SHCSBSB to modern,0.943940937,1.120502311,0.986074692,0.981158881,1.014962933,1.025643439,1.026750528,0.887974259,2.570090048,3.066394099,2.680691253,2.667545818,2.759261117,2.788889364,2.791978623,2.430201704