fromDataset,imageDiff,folder,formation,dates,notes
imageFiles,004CC,Stegs,NONE,NA,004CV in bryoMeta
imageFiles,008CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,009CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,010F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,012CC,Stegs,NONE,NA,012CV in bryoMeta
imageFiles,015CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,017CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,018CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,025CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,030CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,031CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,032CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,036CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,037iCV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,039CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,040CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,041CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,042CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,044CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,046CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,047CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,049CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,050CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,060CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,061S,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,064CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,065CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,076CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,077CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,078CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,081CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,082CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,085CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,091CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,096CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,097CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,099CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,100CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,102CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,104CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,108CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,109CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,110CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,196CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,197CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,198CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,199CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,200CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,201CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,204CC,Stegs,NONE,NA,204CV in bryoMeta
imageFiles,212CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,214CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,215CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,217CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,218CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,220CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,221CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,222CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,223CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,227CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,228CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,231CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,232CC,Stegs,NONE,NA,232CV in bryoMeta
imageFiles,237CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,238CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,250CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,251CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,252CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,253P,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,256CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,260CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,261CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,264CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,265CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,266CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,267CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,268CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,269CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,273S,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,274CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,280CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,282CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,284CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,291CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,332CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,335CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,336CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,337F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,338CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,339F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,340CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,341CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,342CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,343CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,344CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,345CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,346CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,349CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,350F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,351CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,352CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,353F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,354CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,355CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,356F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,357CC,Stegs,NONE,NA,SAME NUMBER | NOT in bryoMeta
imageFiles,357CV,Stegs,NONE,NA,SAME NUMBER | NOT in bryoMeta
imageFiles,359CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,360F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,361S,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,364F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,365F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,366CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,368F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,369F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,370CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,371CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,372CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,373CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,374CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,375CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,376F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,377CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,378CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,379CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,380CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,381F,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,382CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,385CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,390CC,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,394CV,Stegs,NONE,NA,NOT in bryoMeta
imageFiles,399F,Stegs,Nukumaru Limestone,NA,NOT in bryoMeta
imageFiles,434CV,Stegs,Nukumaru Limestone,NA,NOT in bryoMeta
imageFiles,449CV,Stegs2,Nukumaru Brown Sand,NA,449F in bryoMeta
imageFiles,466CC,Stegs2,Nukumaru Limestone,NA,466CV in bryoMeta
imageFiles,599CV,Stegs2,Nukumaru Limestone,NA,NOT in bryoMeta
metadata,204CV,NA,NA,1/24/18,204CC in imageList
metadata,435CC,NA,NA,2/19/18,NOT in imageList
metadata,232CV,NA,NA,2/22/18,232CC in imageList
metadata,466CV,NA,NA,3/26/18,466CC in imageList
metadata,0367iCV,NA,NA,11/2/18,NOT in imageList
metadata,717iCV,NA,NA,7/7/22,NOT in imageList
metadata,568CC,NA,NA,7/22/22,568CV in imageList
metadata,005CC,NA,NA,8/3/22,005CV in imageList