imageFileFormation,bryoMetadataFormation,formationName,formationAbbreviation,ageRange,ageRangeUnits,reference,doi,notes
NONE,,,,,,,,likely poor fossil quality images
Nukumaru Brown Sand | NKBS,NKBS,Nukumaru Brown Sand,NKBS,2.03 - 1.97,mya,Liow et al. 2017,https://doi.org/10.1111/ele.12795,
Nukumaru Limestone | NKLS,NKLS,Nukumaru Limestone,NKLS,2.29 - 2.08,mya,Liow et al. 2017,https://doi.org/10.1111/ele.12795,
Tewkesbury | TEWKESBURY,TEWKESBURY,Tewkesbury,,1.4,mya,Seward 1978,https://doi.org/10.1016/0031-0182(78)90081-0,
Shakespeare Basal Cliffsand | SHCSBSB,SHCSBSB (SHAKESPEARE BASAL CLIFF SAND,Shakespeare Basal Cliff Sand,SHCSBSB,0.43 - 0.40,mya,Liow et al. 2017,https://doi.org/10.1111/ele.12795,
Tainui SB | TAINUI SB,TAINUI SB,Tainui Shell Bed,,0.4,mya,Seward 1978,https://doi.org/10.1016/0031-0182(78)90081-0,
Upper Kai-Iwi SB | Upper Kai-iwi | UPPER KAI-IWI SB,UPPER KAI-IWI SB,Upper Kai-Iwi Shell Bed,,0.68 - 0.62,mya,Liow et al. 2017,https://doi.org/10.1111/ele.12795,
Waipuru SB,WAIPURU SB,Waipuru Shell Bed,,1.4,mya,Seward 1978,https://doi.org/10.1016/0031-0182(78)90081-0,
Pukenni Limestone,PUNNEKI LIMESTONE,Pukenni Limestone,,,,,,
KAH,,,,,,,,
,KAH1750,,,0,mya,,,
,KAH1705,,,0,mya,,,